,Area,Outcome Month,Outcome type,Crime Month,Crime type,Recoded Area
142,Thanet,1,1,1,1,Not in London
143,Three Rivers,12,12,12,12,Not in London
144,Thurrock,18,18,18,18,Not in London
145,Tonbridge and Malling,2,2,2,2,Not in London
146,Torbay,2,2,2,2,Not in London
147,Tower Hamlets,17460,17460,17460,17460,Tower Hamlets
148,Uttlesford,6,6,6,6,Not in London
149,Wakefield,2,2,2,2,Not in London
150,Waltham Forest,12221,12221,12221,12221,Waltham Forest
151,Wandsworth,14205,14205,14205,14205,Wandsworth
152,Warrington,1,1,1,1,Not in London
153,Watford,4,4,4,4,Not in London
154,Waveney,1,1,1,1,Not in London
155,Waverley,3,3,3,3,Not in London
156,Wealden,1,1,1,1,Not in London
157,Welwyn Hatfield,7,7,7,7,Not in London
158,West Berkshire,2,2,2,2,Not in London
159,West Lancashire,2,2,2,2,Not in London
160,Westminster,28748,28748,28748,28748,Westminster
161,Weymouth and Portland,1,1,1,1,Not in London
162,Wigan,1,1,1,1,Not in London
163,Winchester,1,1,1,1,Not in London
164,Windsor and Maidenhead,3,3,3,3,Not in London
165,Wirral,1,1,1,1,Not in London
166,Woking,2,2,2,2,Not in London
167,Wokingham,2,2,2,2,Not in London
168,Wolverhampton,2,2,2,2,Not in London
169,Worthing,1,1,1,1,Not in London
170,Wychavon,1,1,1,1,Not in London
171,Wycombe,2,2,2,2,Not in London
