Area,Outcome Month,Outcome type,Crime Month,Crime type,Recoded Area
Waverley,3,3,3,3,Not in London
Wealden,1,1,1,1,Not in London
Welwyn Hatfield,7,7,7,7,Not in London
West Berkshire,2,2,2,2,Not in London
West Lancashire,2,2,2,2,Not in London
Westminster,28748,28748,28748,28748,Westminster
Weymouth and Portland,1,1,1,1,Not in London
Wigan,1,1,1,1,Not in London
Winchester,1,1,1,1,Not in London
Windsor and Maidenhead,3,3,3,3,Not in London
Wirral,1,1,1,1,Not in London
Woking,2,2,2,2,Not in London
Wokingham,2,2,2,2,Not in London
Wolverhampton,2,2,2,2,Not in London
Worthing,1,1,1,1,Not in London
Wychavon,1,1,1,1,Not in London
Wycombe,2,2,2,2,Not in London
